LineCode,LineText,OriginalText,Comment,Speaker,StoryNode
line:e1d917,"<sprite tint=1 name=""LeftArrow""> Тропа вдоль Белого берега","<sprite tint=1 name=""LeftArrow""> White Coast Trail",,Original,HomeSignStart
line:8e78cb,"Хижина лесничего <sprite name=""RightArrow"" tint=1>","Rangers Cabin <sprite name=""RightArrow"" tint=1>",,Original,HomeSignStart
line:2a55e5,"прости, не подскажешь, который час?",excuse me do you have the time?,,Original,GoatStart
line:b03acc,"да, секунду...","um yeah, let me chec-",,Player,GoatStart
line:445422,понимаешь... я обычно знаю время,see... normally i would know the time,,Original,GoatStart
line:e86981,но вот часы потерял,i just lost my watch,,Original,GoatStart
line:b74c71,"оу, хм","oh, um",,Player,GoatStart
line:78b6fa,обидно,sorry,,Player,GoatStart
line:a60085,это были очень дорогие часы,it was very expensive,,Original,GoatStart
line:ba52fa,"даже бесценные, если подумать,\nсколько всего с ними связано",and priceless when you\nconsider the sentimental value,,Original,GoatStart
line:3407a1,понимаю тебя,i see,,Player,GoatStart
line:0d0268,"если найдёшь их, можешь принести мне?","if you find it, can you\nbring it back to me?",,Original,GoatStart
line:aa6cf0,конечно,sure,,Player,GoatStart
line:e4e4ee,"пожалуйста, не продавай их в интернете",please don't sell it on\nthe internet or whatever,,Original,GoatStart
line:b427c9,они так много значат для меня,it's very valuable to me,,Original,GoatStart
line:deb271,не волнуйся,"no, don't worry",,Player,GoatStart
line:6a5e2f,я верну их тебе,i'll bring it right back,,Player,GoatStart
line:0c1b44,хорошо,ok,,Original,GoatStart
line:55e682,спасибо,thanks,,Original,GoatStart
line:1cf998,"<sprite tint=1 name=""UpArrow""> Хижина лесничего","<sprite tint=1 name=""UpArrow""> Rangers Cabin",,Original,BeachHutSign
line:6df2cf,"<sprite name=""DownArrow"" tint=1> Тропа вдоль Белого берега","<sprite name=""DownArrow"" tint=1> White Coast Trail",,Original,BeachHutSign
line:6794ce,"<sprite tint=1 name=""UpArrow""> Ястребиная тропа\nТропа вдоль Белого берега <sprite name=""RightArrow"" tint=1>","<sprite tint=1 name=""UpArrow""> Hawk Peak Trail\nWhite Coast Trail <sprite name=""RightArrow"" tint=1>",,Original,WhiteCoastSign
line:24d728,"<sprite tint=1 name=""DownArrow""> Пляж Сид\n<sprite tint=1 name=""DownArrow""> Туристический центр\n","<sprite tint=1 name=""DownArrow""> Sid Beach\n<sprite tint=1 name=""DownArrow""> Visitor Center\n",,Original,WhiteCoastSign
line:c3feb2,эй! и куда ты собралась?,hey! where do you think you're going?,Only if the player runs off without talking to the Aunt first.,Original,AuntRunOffStart
line:660020,"ой, я...","oh, um...",,Player,AuntRunOffStart
line:94ad70,неужели ты вот так уйдёшь?\nдаже не поздороваешься\nсо старой тётей Мэй?,"you're not going to just wander\noff without saying hi to old\nAunt May, are you?",,Original,AuntRunOffStart
line:0377ea,я не видела тебя целый день!,i haven't seen you all day!,,Original,AuntRunOffStart
line:2ee5c6,прости...,sorry...,,Player,AuntRunOffStart
line:393e8a,не очень хотелось разговаривать,"i just, didn't feel like\ntalking i guess",,Player,AuntRunOffStart
line:8bc66d,хм что случилось?,hmm what's going on?,,Original,AuntRunOffStart
line:68da3e,ничего!,it's nothing!,,Player,AuntRunOffStart
line:cc2ab6,эх,um,,Player,AuntRunOffStart
line:2a2a55,я просто ждала звонка,i've just been waiting\naround for a call,Jumps to AuntIntroEnd.,Player,AuntRunOffStart
line:69f366,"привет, как ты?",hey how's it going?,Only if the player talks to the Aunt first.,Original,AuntIntroStart
line:f3c007,я не видела тебя весь день,i haven't seen you all day,,Original,AuntIntroStart
line:13113d,дела были?,you been busy?,,Original,AuntIntroStart
line:15e70c,"м-м, вроде того","uh, kinda",,Player,AuntIntroStart
line:04670a,"ну, не совсем","well, not really",,Player,AuntIntroStart
line:de5495,я просто ждала звонка,i've just been waiting\naround for a call,,Player,AuntIntroStart
line:ac2e52,так вот в чём дело!,well there's your problem!,,Original,AuntIntroEnd
line:122c03,телефон здесь не ловит,there's no reception out here,,Original,AuntIntroEnd
line:895cf8,стой...,wait...,,Player,AuntIntroEnd
line:85a826,ЧТО?!,WHAT!?,,Player,AuntIntroEnd
line:264290,"да, то есть, почти не ловит","yeah, i mean, pretty much\nno reception",,Original,AuntIntroEnd
line:8a1b8c,но ты можешь подняться\nна <color=red>Ястребиный пик</color>\nи позвонить оттуда,you might be able to get\nsome at <color=red>Hawk Peak</color>,,Original,AuntIntroEnd
line:c175a4,"я... могу, наверно",oh... yeah i guess,,Player,AuntIntroEnd
line:f8213b,но ведь это довольно далеко?,but that's pretty far\nisn't it?,,Player,AuntIntroEnd
line:b5e4af,"не так далеко, как ты думаешь!",it's not that far!,,Original,AuntIntroEnd
line:2adc6a,мы все туда поднимались,we've all made the\ntrek before,,Original,AuntIntroEnd
line:2cc023,"я думала, и ты уже в пути",i figured you would have\ngone already,,Original,AuntIntroEnd
line:22169d,ах да...,oh... yeah,,Player,AuntIntroEnd
line:87a10b,я собиралась пойти,i've been meaning to go,,Player,AuntIntroEnd
line:bb94a0,но,but,,Player,AuntIntroEnd
line:97eccf,как-то,i just,,Player,AuntIntroEnd
line:43b28d,всё времени не было,haven't gotten around to it yet,,Player,AuntIntroEnd
line:7a4449,"что ж, сегодня подходящий день!",well today's as good a day\nas any!,,Original,AuntIntroEnd
line:69a1a3,...,...,Claire is silent because she has been avoiding this hike - she's nervous it will too hard.,Player,AuntIntroEnd
line:665732,просто иди по <color=red>тропе вдоль Белого берега</color>\nи на развилке поверни <color=red>на север</color>,just take <color=red>White Beach Trail</color>\nand head <color=red>north</color> at the fork,,Original,AuntIntroEnd
line:4a3aac,потом иди по указателям\n<color=red>на пик Ястреба</color>,then follow the signs\nfor <color=red>Hawk Peak</color>,,Original,AuntIntroEnd
line:afa6b1,это легко!,no problem!,,Original,AuntIntroEnd
line:e4f197,<color=red>пик Ястреба</color> прекрасен,<color=red>Hawk Peak</color> really is wonderful,Only if the player continues to talk to the Aunt.,Original,AuntChat
line:8866aa,тебе там понравится!,you're going to love it!,,Original,AuntChat
line:3f786f,да... я много слышала о нём,yeah... i've heard a lot about it,,Player,AuntChat
line:1a3a17,"конечно, это непростая прогулка","it's quite a hike, sure",,Original,AuntChat
