LineCode,LineText
line:e1d917,"<sprite tint=1 name=""LeftArrow""> Тропа «Белый берег»"
line:8e78cb,"Хижина рейнджера <sprite name=""RightArrow"" tint=1>"
line:2a55e5,"простите, вы не подскажете, который час?"
line:b03acc,"да, секунду..."
line:445422,видите ли... обычно я сам\nмогу посмотреть время
line:e86981,"но вот, потерял часы"
line:b74c71,оу
line:78b6fa,сочувствую
line:a60085,они очень дорогие
line:ba52fa,"даже бесценные, если подумать,\nсколько всего с ними связано"
line:3407a1,понятно
line:0d0268,"если найдёте их,\nможете вернуть мне?"
line:aa6cf0,конечно
line:e4e4ee,"и пожалуйста, не продавайте их\nв интернете или вроде того"
line:b427c9,они мне очень дороги
line:deb271,не волнуйтесь
line:6a5e2f,я верну их
line:0c1b44,хорошо
line:55e682,спасибо
line:1cf998,"<sprite tint=1 name=""UpArrow""> Хижина рейнджера"
line:6df2cf,"<sprite name=""DownArrow"" tint=1> Тропа «Белый берег»"
line:6794ce,"<sprite tint=1 name=""UpArrow""> Тропа «Ястребиный пик»\n Тропа «Белый берег» <sprite name=""RightArrow"" tint=1>"
line:24d728,"<sprite tint=1 name=""DownArrow""> Пляж Сида\n<sprite tint=1 name=""DownArrow""> Туристический центр\n"
line:c3feb2,эй! и куда это ты помчала?
line:660020,"ой, я..."
line:94ad70,неужели ты вот так уйдёшь?\nдаже не поздороваешься\nсо старой тётушкой Мэй?
line:0377ea,я ведь всё утро тебя не видела!
line:2ee5c6,прости...
line:393e8a,не очень хотелось разговаривать
line:8bc66d,"ох, что случилось?"
line:68da3e,да ерунда!
line:cc2ab6,м-м-м
line:2a2a55,я просто ждала звонка
line:69f366,"привет, как ты?"
line:f3c007,я тебя всё утро не видела
line:13113d,занята была?
line:15e70c,"э-э, вроде того"
line:04670a,"ну, не совсем"
line:de5495,я просто ждала звонка
line:ac2e52,так вот в чём дело!
line:122c03,мобильники тут не ловят
line:895cf8,стой...
line:85a826,ЧТО?!
line:264290,"да, то есть, почти не ловят"
line:8a1b8c,разве что на вершине\n<color=red>Ястребиного пика</color>
line:c175a4,о... ну... понятно
line:f8213b,"так ведь это далеко,\nразве нет?"
line:b5e4af,не так уж и далеко!
line:2adc6a,мы все туда поднимались
line:2cc023,"я думала, ты тоже"
line:22169d,"ну, в общем..."
line:87a10b,я давно собираюсь
line:bb94a0,но
line:97eccf,как-то
line:43b28d,звёзды не сошлись
line:7a4449,так пусть сойдутся сегодня!
line:69a1a3,...
line:665732,просто иди <color=red>по тропе вдоль Белого берега</color>\nи на развилке поверни <color=red>на север</color>
line:4a3aac,а потом — по указателям\nдо <color=red>Ястребиного пика</color>
line:afa6b1,делов-то!
line:e4f197,<color=red>Ястребиный пик</color> — настоящее чудо
line:8866aa,тебе там понравится!
line:3f786f,да... о нём столько говорят
line:1a3a17,"путь, конечно, не самый лёгкий"
line:5178bc,но это уже семейная традиция
line:67dceb,угу
line:e2d813,от горячего источника\nидут восходящие потоки
line:40798a,и когда тебя уносит вверх...\nневероятное чувство
line:f124e6,но
line:a1168c,разве это
line:c8cb65,не опасно?
line:65f725,вовсе нет
line:2dc6ae,держи клюв по ветру и справишься!
line:a9b82f,хм
line:0acd94,так что за звонок ты ждёшь?
line:e495d6,о... м
line:e1eca7,в общем...
line:fe9497,...
line:39e326,насчёт того самого
line:a48a7c,...
line:9c8c35,ох! прости
line:4d933a,я не подумала
line:04095c,"дорогая, не волнуйся"
line:0c7e66,всё будет хорошо
line:69afd0,знаешь что?
line:e13932,тебе надо хорошенько проветриться!
line:109615,"ах, не день, а сказка!"
line:923d86,"чудесное место, правда?"
line:2640d9,"да, тут мило"
line:797bbe,хотя в городе тоже неплохо!
line:a96f99,жизнь кипит
line:af8fd9,еда вкусная
line:ba2c5e,а ещё
line:2eade3,там ловит связь!
line:c73cbb,"вообще-то, у нас тоже\nскоро будет связь!"
line:89c559,уже вышку новую строят
line:49e489,о-о-о
line:6b6e0e,будет здорово
line:d4c9d3,до чего же тут хорошо
line:223ea1,хоть целый день бы сидела
line:de9d91,так и поступлю!
line:b7a7b0,КЛЭР!
line:c4bfc9,а ты знала...
line:89c5de,"что если <color=red>на бегу зажать {{JumpButton}},</color> то начнёшь\nпланировать в воздухе?!"
line:63f4be,конечно!
line:bc1f77,это все знают
line:59da5d,а почему ты спрашиваешь?
line:11dc70,просто
line:8d1f3a,"почему-то показалось,\nчто ты можешь не знать"
line:5f1cb6,эм
line:9857a1,окей
line:6b0d0c,погоди минутку
line:2c740b,"ещё раз, как мне планировать?"
line:a5b030,"<color=red>зажми {{JumpButton}} на бегу,</color> балбеска!"
line:131a7c,"отлично, я просто проверяла,\nа помнишь ли ты"
line:975e5c,я ничего не забываю!
line:845d4e,я гений
line:32fa08,"хорошо, последний раз"
line:b08a47,как там было?
line:703f8a,<color=red>ЖМИ {{JumpButton}} НА БЕГУ И ПЛАНИРУЙ!!!</color>
line:5746d5,спасибки
line:509a8c,"серьёзно, самый последний раз"
line:1a38b1,ЗАЖМИ
line:77a928,{{JumpButton}}
line:f7a6f2,ЧТОБЫ
line:193b8b,ПЛАНИРОВАТЬ!!!
line:abcac6,"теперь не забуду, обещаю"
line:ff18cb,можно ещё ра...
line:e27b74,НЕТ!
line:81083b,НЕ-Е-ЕТ!
line:9ab14d,НЕ-Е-Е-Е-Е-Е-Е-Е-Е-ЕТ!
line:767e99,НИКАКИХ ЕЩЁ!!!
line:29cac4,ЭЙ ТЫ
line:17a485,НАЙДИ МНЕ 15 РАКУШЕК!
line:c5ecea,чего?! зачем?
line:e4e484,я хочу их
line:88d371,"да, но зачем?"
line:7a437e,это секрет!
line:a889a8,"хе, ладно"
line:ad9058,буду иметь в виду
line:875ed5,лучше имей ПРИ СЕБЕ
line:feb9a5,"эй, вот твои ракушки"
line:051e4c,о-о-о!
line:c72422,давай сюда!
line:e1241c,и что теперь?
line:3e628d,что?
line:831bce,в смысле
line:147c2e,ну
line:1b9367,мне что-нибудь за это будет?
line:2fde5e,нет!
line:05680a,"блин, даже «спасибо» не скажешь?"
line:16ea80,не очень-то это вежливо
line:bae3c7,жизнь — штука суровая!
line:648a49,и я тебе ничего не обещала
line:caf7cc,...
line:8e0304,вообще
line:9d6eff,есть для тебя кое-что
line:4d16a1,новая работа
line:921eeb,у меня уже есть работа
line:4ab932,"тогда это будет подработка,\nну или фриланс, если хочешь"
line:1054b1,"что, если я откажусь?"
line:5ac191,тебе же хуже!
line:2f60fc,хорошая работа на\nдороге не валяется
line:0c16fe,...
line:c46b69,так ты берёшься?
line:21d908,"так всё-таки, зачем тебе ракушки?"
line:414248,не твоё дело!
line:14cf86,твоё дело — собрать мне 15 штук
line:dfc345,и не совать клюв куда не просят
line:2e35f7,ракушек уже целых {{Item_Shell}}!
line:0e8aeb,"эй, можно вопрос?"
line:0a19d0,давай
line:8a7060,{{Item_Shell}} — это больше или меньше 15?
line:02f9ee,ну
line:e8e0b5,меньше?
line:588d2f,да
line:4b7c40,вот именно
line:53148f,если не принесла весь заказ...
line:96850b,...то не трать моё время!
line:b94465,"божечки, ладно!"
line:961fbd,что тут скажешь
line:974e98,у меня железные принципы
line:e38563,хм-м
line:b29d15,я поднимаюсь на <color=red>Ястребиный пик</color>
line:7ba030,"сначала всё шло хорошо, но потом\nтропа стала очень крутой"
line:83c6cd,"как думаешь, тут вообще\nможно забраться?"
line:bb9ad1,"вот было бы золотое перо, тогда конечно"
line:c5407a,их вроде продают\nв <color=red>Туристическом центре</color>
line:4cacb9,и как эти <color=red>золотые перья</color> работают?
line:37e9e6,"ну, когда перо лежит у тебя в кармане"
line:477585,ты как будто становишься легче
line:3bbcd0,и по скалам лазать проще!
line:e82492,вау
line:5dd075,круто
line:9d3ba7,ещё бы!
line:2c9d43,а зачем ты поднимаешься на гору?
line:cf58a9,хочу поснимать природу с высоты
line:f9074d,не то чтобы я фотограф...
line:02b8b9,просто интересное хобби
line:bf4b14,я тоже поднимаюсь!
line:fd2045,правда?
line:6e4c47,"говорят, это долгий поход"
line:34b8e9,"всё-таки долгий, да?"
line:ed5d70,моя тётя всегда такая:
line:215373,«это просто короткая прогулка!»
line:fb4e3a,но она просто помешана на походах
line:8c7a1f,поэтому
line:b7e9d9,"мне кажется, она не замечает,\nкак это тяжело"
line:7ba994,соглашусь
line:726a9c,если доберёмся вместе
